X	Y
4.89	1.04
9.78	2.08
15.26	4.52
17.83	6.06
22.12	8.64
29.83	13.28
31.55	14.31
32.41	14.82
38.41	18.43
43.04	20.30
45.82	21.42
46.65	21.98
48.25	23.19
51.44	25.59
59.43	31.61
65.56	36.75
68.44	39.53
69.16	40.23
70.59	41.62
77.79	48.56
82.10	52.73
82.82	53.42
90.02	60.37
91.36	61.86
97.92	69.40
99.88	71.67
100.67	72.28
101.46	72.90
108.55	78.44
116.43	84.60
124.30	88.96
132.18	93.32
133.05	93.81
138.85	95.36
148.24	98.78
150.70	100.50
158.89	106.24
159.71	106.81
161.58	107.53
165.40	108.70
166.35	109.01
172.35	109.32
177.34	109.58
182.33	109.84
188.32	110.16
194.21	111.30
197.16	111.88
200.10	112.45
203.05	113.02
212.03	113.65
220.02	113.93
226.02	114.14
236.01	114.49
240.01	114.42
243.01	114.36
245.00	114.54
254.00	114.54
256.00	114.54
258.00	114.54
261.93	113.78
269.78	112.25
273.70	111.42
281.52	109.75
291.30	107.67
292.28	107.47
301.08	105.60
302.97	104.94
310.54	102.34
313.50	101.87
314.44	101.53
323.19	96.68
324.16	96.44
326.10	95.95
331.80	94.10
338.46	91.94
344.70	88.76
350.82	85.37
359.28	82.29
361.16	81.60
367.74	79.21
372.07	76.71
376.40	74.21
377.26	73.71
378.21	73.40
388.16	72.36
393.08	71.49
399.98	70.27
409.82	68.54
415.26	66.00
422.35	60.46
428.11	54.90
435.30	47.95
441.69	43.14
445.55	38.54
448.12	35.48
453.26	29.35
459.21	24.00
461.72	20.89
463.65	18.59
465.41	15.00
